UID	ACCESSION	VERSION	ORGANISM	SEQ_LEN	CREATE_DATE	AUTHORS	TITLE	REFERENCE	NOTE	TAXONOMY
226951168	EU998744	3	Pinus longaeva	117726	2008-08-23	Cronn,R.,Liston,A.,Parks,M.,Gernandt,D.S.,Shen,R.,Mockler,T	Multiplex sequencing of plant chloroplast genomes using Solexa sequencing-by-synthesis technology	Nucleic Acids Res. 36 (19), E122 (2008)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Pinales; Pinaceae; Pinus; Pinus subgen. Strobus
1625815040	MH706725	1	Abies balsamea	121574	2019-05-04	Wu,S.,Lu,X.-F.,Zhao,P.-F.,Shao,Y.-Z	Next-generation sequencing yields the complete chloroplast genome of Abies balsamea	Mitochondrial DNA B Resour 4 (1), 1445-1446 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Pinales; Pinaceae; Abies
1517365252	MH173090	1	Scoliosorus ensiformis	145327	2018-11-24	Robison,T.A.,Grusz,A.L.,Wolf,P.G.,Mower,J.P.,Fauskee,B.D.,Sosa,K.,Schuettpelz,E	Mobile Elements Shape Plastome Evolution in Ferns	Genome Biol Evol 10 (10), 2558-2571 (2018)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Polypodiales; Pteridineae; Pteridaceae; Vittarioideae; Scoliosorus
1590784010	MH598533	1	Selaginella hainanensis	144201	2019-03-18	Zhang,H.-R.,Xiang,Q.-P.,Zhang,X.-C	The Unique Evolutionary Trajectory 1 and Dynamic Conformations of DR and IR/DR-coexisting Plastomes of the Early Vascular Plant Selaginellaceae (Lycophyte)	bioRxivorg (2019) In press		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Lycopodiopsida; Selaginellales; Selaginellaceae; Selaginella
1727115279	MK705754	1	Oleandra articulata	163068	2019-08-26	Lehtonen,S.,Cardenas,G.G	Dynamism in plastome structure observed across the phylogenetic tree of ferns	Bot. J. Linn. Soc. 190 (3), 229-241 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Polypodiales; Polypodiineae; Oleandraceae; Oleandra
1462142996	MH121051	1	Hesperocyparis lusitanica	127113	2018-08-27	Zhu,A.,Fan,W.,Adams,R.P.,Mower,J.P	Evidence for ancient recombination among plastid genomes of the Cupressus-Juniperus-Xanthocyparis complex (Cupressaceae)	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Cupressales; Cupressaceae; Hesperocyparis
1691371541	MK007968	1	Pinus yunnanensis	119707	2019-06-29	Li,M	Characterization of the complete chloroplast genome sequence of Pinus yunnanensis (Pinaceae)	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Pinales; Pinaceae; Pinus; Pinus
1236178971	KY427338	1	Deparia lancea	151011	2017-08-29	Wei,R.,Yan,Y.H.,Harris,A.J.,Kang,J.S.,Shen,H.,Xiang,Q.P.,Zhang,X.C	Plastid Phylogenomics Resolve Deep Relationships among Eupolypod II Ferns with Rapid Radiation and Rate Heterogeneity	Genome Biol Evol 9 (6), 1646-1657 (2017)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Polypodiales; Aspleniineae; Athyriaceae; Deparia
814557212	KP771703	1	Pinus taiwanensis	119741	2015-06-22	Fang,M.F.,Wang,Y.J.,Zu,Y.M.,Dong,W.L.,Wang,R.N.,Deng,T.T.,Li,Z.H	The complete chloroplast genome of the Taiwan red pine Pinus taiwanensis (Pinaceae)	Mitochondrial DNA, 1-2 (2015) In press		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Pinales; Pinaceae; Pinus; Pinus
302024733	HM222519	1	Ptilidium pulcherrimum	119007	2011-04-15	Forrest,L.L.,Wickett,N.J.,Goffinet,B	Evolutionary stasis in liverwort chloroplast structure: the genome of Ptilidium is colinear with Marchantia	Plant Ecol Evol 144, 29-43 (2011)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Marchantiophyta; Jungermanniopsida; Jungermanniidae; Ptilidiales; Ptilidiaceae; Ptilidium
1464229915	MH612866	1	Pinus pinceana	114082	2018-08-29	Gernandt,D.S.,Resendiz Arias,C.,Terrazas,T.,Aguirre Dugua,X.,Willyard,A	Incorporating fossils into the Pinaceae tree of life	Am. J. Bot. 105 (8), 1329-1344 (2018)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Pinales; Pinaceae; Pinus; Pinus subgen. Strobus
1517363235	MH173066	1	Pellaea truncata	150713	2018-11-24	Robison,T.A.,Grusz,A.L.,Wolf,P.G.,Mower,J.P.,Fauskee,B.D.,Sosa,K.,Schuettpelz,E	Mobile Elements Shape Plastome Evolution in Ferns	Genome Biol Evol 10 (10), 2558-2571 (2018)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Polypodiales; Pteridineae; Pteridaceae; Cheilanthoideae; Pellaea
748990502	KP099643	1	Cupressus sempervirens	129150	2015-01-26	Zhu,A.,Mower,J.P	Cupressus Phylogeny	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Cupressales; Cupressaceae; Cupressus
403488822	JX416858	1	Stangeria eriopus	163548	2014-12-31	Huang,Y.-Y.,Chaw,S.-M	Comparative chloroplast genomes of the Cycadales	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Cycadidae; Cycadales; Zamiaceae; Stangeria
1519155258	MF990370	1	Larix gmelinii var. olgensis	122573	2018-11-26	Kim,S.-C.,Lee,J.-W.,Lee,M.-W.,Baek,S.-H.,Hong,K.-N	The complete chloroplast genome sequences of Larix kaempferi and Larix olgensis var. koreana (Pinaceae)	Mitochondrial DNA B Resour 3 (1), 36-37 (2018)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Pinales; Pinaceae; Larix
1677606974	MH064514	1	Calypogeia fissa	120500	2019-06-08	Yu,Y.,Liu,H.,Yang,J.,Ma,W.,Pressel,S.,Wu,Y.,Schneider,H	Exploring the plastid DNA sequence disparity of liverworts	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Marchantiophyta; Jungermanniopsida; Jungermanniidae; Jungermanniales; Jungermanniineae; Calypogeiaceae; Calypogeia
940376132	KR476379	1	Pinus sylvestris	119758	2017-05-31	Wu,Z.,Arvestad,L.,Thompson,S.L	Five gymnosperm plastomes reveal rampant rearrangements in Cupressophytes and the retention of ndh pseudogenes in Abies sibirica and Pinus sylvestris	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Pinales; Pinaceae; Pinus; Pinus subgen. Pinus
1238790213	KY963967	1	Pinus greggii	120501	2017-09-05	Aguirre-Dugua,X.,Gernandt,D.S	Complete plastomes of three endemic Mexican pine species (Pinus subsection Australes)	Mitochondrial DNA B Resour 2 (2), 562-565 (2017)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Pinales; Pinaceae; Pinus; Pinus subgen. Pinus
239794256	AP010966	1	Cryptomeria japonica	131804	2009-06-11	Hirao,T.,Watanabe,A.,Kurita,M.,Kondo,T.,Takata,K	A frameshift mutation of the chloroplast matK coding region is associated with chlorophyll deficiency in the Cryptomeria japonica virescent mutant Wogon-Sugi	Curr. Genet. 55 (3), 311-321 (2009)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Cupressales; Cupressaceae; Cryptomeria
1704722509	MK468630	1	Larix gmelinii	122588	2019-07-19	Zimmermann,H.H.,Harms,L.,Epp,L.S.,Mewes,N.,Bernhardt,N.,Kruse,S.,Stoof-Leichsenring,K.R.,Pestryakova,L.A.,Wieczorek,M.,Trense,D.,Herzschuh,U	Chloroplast and mitochondrial genetic variation of larches at the Siberian tundra-taiga ecotone revealed by de novo assembly	PLoS ONE 14 (7), e0216966 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Pinales; Pinaceae; Larix
1563842645	MH348274	1	Trichomanes trollii	150965	2019-01-30	Lehtonen,S	The complete plastid genome sequence of Trichomanes trollii (Hymenophyllaceae)	Nord. J. Bot. 36 (12), e02072 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Hymenophyllales; Hymenophyllaceae; Trichomanoideae; Trichomanes
1517365339	MH173091	1	Vittaria appalachiana	149531	2018-11-24	Robison,T.A.,Grusz,A.L.,Wolf,P.G.,Mower,J.P.,Fauskee,B.D.,Sosa,K.,Schuettpelz,E	Mobile Elements Shape Plastome Evolution in Ferns	Genome Biol Evol 10 (10), 2558-2571 (2018)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Polypodiales; Pteridineae; Pteridaceae; Vittarioideae; Vittaria
1464229982	MH612867	1	Pseudotsuga menziesii var. glauca	121631	2018-08-29	Gernandt,D.S.,Resendiz Arias,C.,Terrazas,T.,Aguirre Dugua,X.,Willyard,A	Incorporating fossils into the Pinaceae tree of life	Am. J. Bot. 105 (8), 1329-1344 (2018)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Pinales; Pinaceae; Pseudotsuga
1462143079	MH121052	1	Juniperus communis	127904	2018-08-27	Zhu,A.,Fan,W.,Adams,R.P.,Mower,J.P	Evidence for ancient recombination among plastid genomes of the Cupressus-Juniperus-Xanthocyparis complex (Cupressaceae)	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Cupressales; Cupressaceae; Juniperus
27807848	AB086179	1	Anthoceros angustus	161162	2003-01-18	Kugita,M.,Kaneko,A.,Yamamoto,Y.,Takeya,Y.,Matsumoto,T.,Yoshinaga,K	The complete nucleotide sequence of the hornwort (Anthoceros formosae) chloroplast genome: insight into the earliest land plants	Nucleic Acids Res. 31 (2), 716-721 (2003)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Anthocerotophyta; Anthocerotopsida; Anthocerotidae; Anthocerotales; Anthocerotaceae; Anthoceros
220983401	AP009568	1	Welwitschia mirabilis	118919	2009-01-20	Wu,C.S.,Lai,Y.T.,Lin,C.P.,Wang,Y.N.,Chaw,S.M	Evolution of reduced and compact chloroplast genomes (cpDNAs) in gnetophytes: selection toward a lower-cost strategy	Mol. Phylogenet. Evol. 52 (1), 115-124 (2009)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Gnetopsida; Gnetidae; Welwitschiales; Welwitschiaceae; Welwitschia
1727115369	MK705755	1	Pecluma dulcis	154035	2019-08-26	Lehtonen,S.,Cardenas,G.G	Dynamism in plastome structure observed across the phylogenetic tree of ferns	Bot. J. Linn. Soc. 190 (3), 229-241 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Polypodiales; Polypodiineae; Polypodiaceae; Polypodioideae; Pecluma
323522672	EU998746	4	Pinus nelsonii	116834	2008-08-23	Cronn,R.,Liston,A.,Parks,M.,Gernandt,D.S.,Shen,R.,Mockler,T	Multiplex sequencing of plant chloroplast genomes using Solexa sequencing-by-synthesis technology	Nucleic Acids Res. 36 (19), E122 (2008)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Pinales; Pinaceae; Pinus; Pinus subgen. Strobus
1236179060	KY427339	1	Deparia pycnosora	151126	2017-08-29	Wei,R.,Yan,Y.H.,Harris,A.J.,Kang,J.S.,Shen,H.,Xiang,Q.P.,Zhang,X.C	Plastid Phylogenomics Resolve Deep Relationships among Eupolypod II Ferns with Rapid Radiation and Rate Heterogeneity	Genome Biol Evol 9 (6), 1646-1657 (2017)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Polypodiales; Aspleniineae; Athyriaceae; Deparia
748990585	KP099644	1	Hesperocyparis glabra	126993	2015-01-26	Zhu,A.,Mower,J.P	Hesperocyparis	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Cupressales; Cupressaceae; Hesperocyparis
1517363323	MH173067	1	Notholaena standleyi	159556	2018-11-24	Robison,T.A.,Grusz,A.L.,Wolf,P.G.,Mower,J.P.,Fauskee,B.D.,Sosa,K.,Schuettpelz,E	Mobile Elements Shape Plastome Evolution in Ferns	Genome Biol Evol 10 (10), 2558-2571 (2018)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Polypodiopsida; Polypodiidae; Polypodiales; Pteridineae; Pteridaceae; Cheilanthoideae; Notholaena
1228304507	KY885247	1	Larix potaninii var. australis	122642	2019-04-11	Qiu,D.-Y.,Yang,J.,Feng,L.,Ni,D.-W.,Huang,C.-X.,Li,Z.-H	Complete plastid genome of Larix potaninii var. macrocarpa, an endangered conifer endemic to China	Conserv Genet Resour 10 (2), 187-189 (2018)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Pinales; Pinaceae; Larix
1784322171	MK978775	1	Torreya nucifera	136985	2019-12-21	Shin,S.,Kim,S.-C.,Hong,K.N.,Kang,H.,Lee,J.-W	The complete chloroplast genome of Torreya nucifera (Taxaceae) and phylogenetic analysis	Mitochondrial DNA B Resour 4 (2), 2537-2538 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Cupressales; Taxaceae; Torreya
1519155330	MF990371	1	Pinus densiflora	119835	2018-11-26	Kim,S.-C.,Lee,J.-W.,Baek,S.-H.,Ahn,J.-Y.,Hong,K.-N	Identification of DNA molecular markers by comparison of Pinus densiflora and Pinus sylvestris chloroplast genomes	PeerJ (2018) In press		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Pinales; Pinaceae; Pinus; Pinus subgen. Pinus
1253992579	LC228570	1	Larix gmelinii var. japonica	122598	2017-10-11	Ishizuka,W.,Tabata,A.,Ono,K.,Fukuda,Y.,Hara,T	Draft chloroplast genome of Larix gmelinii var. japonica: insight into intraspecific divergence	J. For. Res. 22, 393-398 (2017)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Pinales; Pinaceae; Larix
1238790287	KY963968	1	Pinus jaliscana	120715	2017-09-05	Aguirre-Dugua,X.,Gernandt,D.S	Complete plastomes of three endemic Mexican pine species (Pinus subsection Australes)	Mitochondrial DNA B Resour 2 (2), 562-565 (2017)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Pinales; Pinaceae; Pinus; Pinus subgen. Pinus
1337016464	MG269834	1	Chamaecyparis hodginsii	127777	2018-02-05	Du,X.,Chen,X.,Ren,X.,Xin,G.,Jia,G.,Liu,W	The complete chloroplast genome sequence of Fokienia hodginsii (Cupressaceae), an endangered tree	Conserv Genet Resour (2018) In press		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinopsida; Pinidae; Cupressales; Cupressaceae; Chamaecyparis
1590784143	MH598534	1	Selaginella pennata	138024	2019-03-18	Zhang,H.-R.,Xiang,Q.-P.,Zhang,X.-C	The Unique Evolutionary Trajectory 1 and Dynamic Conformations of DR and IR/DR-coexisting Plastomes of the Early Vascular Plant Selaginellaceae (Lycophyte)	bioRxivorg (2019) In press		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Lycopodiopsida; Selaginellales; Selaginellaceae; Selaginella
1677607058	MH064515	1	Heteroscyphus argutus	118095	2019-06-08	Yu,Y.,Liu,H.,Yang,J.,Ma,W.,Pressel,S.,Wu,Y.,Schneider,H	Exploring the plastid DNA sequence disparity of liverworts	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Marchantiophyta; Jungermanniopsida; Jungermanniidae; Jungermanniales; Lophocoleineae; Lophocoleaceae; Heteroscyphus
1704722581	MK468631	1	Larix gmelinii	122590	2019-07-19	Zimmermann,H.H.,Harms,L.,Epp,L.S.,Mewes,N.,Bernhardt,N.,Kruse,S.,Stoof-Leichsenring,K.R.,Pestryakova,L.A.,Wieczorek,M.,Trense,D.,Herzschuh,U	Chloroplast and mitochondrial genetic variation of larches at the Siberian tundra-taiga ecotone revealed by de novo assembly	PLoS ONE 14 (7), e0216966 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Pinidae; Pinales; Pinaceae; Larix
