ACCESSION	IRa_REPORTED	IRa_REPORTED_START	IRa_REPORTED_END	IRa_REPORTED_LENGTH	IRb_REPORTED	IRb_REPORTED_START	IRb_REPORTED_END	IRb_REPORTED_LENGTH
MK267309	yes	128906	156525	27620	yes	84835	112454	27620
MK193788	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK361034	yes	130568	156575	26008	yes	85793	111800	26008
MN524604	yes	132184	155904	23721	yes	89533	113253	23721
KU291467	yes	118325	141097	22773	yes	82985	105757	22773
KX063895	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX826832	yes	85129	110893	25765	yes	127547	153311	25765
MH817936	yes	86409	112105	25697	yes	129604	155300	25697
MH041484	yes	133459	160249	26791	yes	87924	114712	26789
KF156834	yes	130520	156576	26057	yes	86205	112260	26056
MK335928	yes	126626	153189	26564	yes	82013	108576	26564
MN380691	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH325131	yes	124489	150087	25599	yes	81708	107306	25599
MG052600	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK069582	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK193789	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK267310	yes	128904	156523	27620	yes	84789	112408	27620
MF926267	yes	133694	161100	27407	yes	87767	115173	27407
MK569470	yes	131249	157603	26355	yes	86625	112979	26355
MN524605	yes	132043	155857	23815	yes	89523	113337	23815
MK161058	yes	134074	163464	29391	yes	86722	116112	29391
MH898873	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX063896	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU291468	yes	116968	139643	22676	yes	81725	104400	22676
KX826833	yes	86298	112981	26684	yes	130106	156789	26684
MH817937	yes	86422	112134	25713	yes	129645	155350	25706
KF156835	yes	130852	156892	26041	yes	86579	112619	26041
MH042752	yes	133462	160268	26807	yes	87886	114692	26807
MK397925	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY412195	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK335929	yes	127542	154056	26515	yes	83069	109583	26515
MN380692	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH325132	yes	124885	150499	25615	yes	82076	107691	25616
MG052601	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH488956	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK130890	yes	130712	156652	25941	yes	86598	112538	25941
MK193790	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH638290	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF926268	yes	130372	156073	25702	yes	85832	111533	25702
MK267311	yes	128465	155367	26903	yes	84683	111585	26903
MN524606	yes	131937	155781	23845	yes	89456	113300	23845
JQ757046	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX063897	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX826834	yes	86201	112941	26741	yes	129912	156652	26741
KU291469	yes	115655	138377	22723	yes	80333	103055	22723
MH071744	yes	132749	158881	26133	yes	88170	114302	26133
MH817938	yes	86450	112154	25705	yes	129651	155355	25705
MK397926	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF156836	yes	130971	156975	26005	yes	86674	112704	26031
MN380693	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH325133	yes	124566	150076	25511	yes	81683	107193	25511
MG052602	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG805615	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK193791	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK267312	yes	128904	156523	27620	yes	84789	112408	27620
MN524607	yes	133061	157149	24089	yes	90293	114381	24089
MH603953	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
FJ970916	yes	83011	104765	21755	yes	117640	139394	21755
KX063898	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH050970	yes	132608	152721	20114	yes	93640	113753	20114
MH817939	yes	86347	112266	25920	yes	130168	156087	25920
KU291470	yes	116282	138994	22713	yes	81045	103757	22713
MN380694	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF156837	yes	130529	156585	26057	yes	86213	112269	26057
KY908400	yes	123011	151033	28023	yes	78131	106153	28023
MG052603	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC311467	yes	118827	141928	23102	yes	83189	106290	23102
MN654912	yes	129826	156528	26703	yes	85908	112610	26703
MN524608	yes	128926	151964	23039	yes	87381	110419	23039
MK193792	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK267313	yes	128897	156466	27570	yes	84814	112383	27570
MG897126	yes	89055	123545	34491	yes	134463	168953	34491
MH603954	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX765434	yes	83711	110470	26760	yes	128625	155384	26760
KX063899	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH050971	yes	132629	152760	20132	yes	93637	113768	20132
MH817940	yes	86425	112137	25713	yes	129993	155705	25713
MN380695	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU291471	yes	117719	140486	22768	yes	82384	105151	22768
KY908401	yes	116462	147378	30917	yes	80690	111605	30916
KF156838	yes	130587	156592	26006	yes	86237	112268	26032
MH359178	yes	127842	154138	26297	yes	83545	109841	26297
MG052604	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397928	yes	140349	167847	27499	yes	95600	123098	27499
MN524609	yes	130225	154019	23795	yes	89133	112927	23795
MK193793	yes	130782	156987	26206	yes	87236	113394	26159
KU041648	yes	54185	98025	43841	yes	28984	54185	25202
MK267314	yes	130174	157839	27666	yes	85859	113524	27666
KU513437	yes	124585	150528	25944	yes	80792	106735	25944
MK159176	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH751592	yes	89497	114852	25356	yes	134470	159825	25356
KU355276	yes	133344	159050	25707	yes	87762	113467	25706
MK569471	yes	129130	160384	31255	yes	80238	111492	31255
MK569048	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
AY522329	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX063900	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817941	yes	86702	112438	25737	yes	130327	156063	25737
MN380696	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN524610	yes	128279	151267	22989	yes	87270	110258	22989
MK994778	yes	86099	112890	26792	yes	129789	156580	26792
MH359179	yes	127757	153720	25964	yes	83765	109728	25964
MG052605	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF156839	yes	130970	156974	26005	yes	86673	112703	26031
KU291472	yes	117159	139873	22715	yes	81779	104493	22715
MK397929	yes	1	153900	29335	yes	83201	112535	29335
MK193794	yes	130767	156954	26188	yes	87190	113343	26154
MK267315	yes	129309	156957	27649	yes	85097	112745	27649
KU513438	yes	126111	152110	26000	yes	83135	109134	26000
AY522330	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX063901	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562580	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569472	yes	129215	160493	31279	yes	80152	111430	31279
MN548092	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN524611	yes	135481	158102	22622	yes	90795	113416	22622
MK163924	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380697	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817942	yes	86657	112399	25743	yes	129951	155693	25743
MK994779	yes	85686	112546	26861	yes	129496	156350	26855
MG052606	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
AY522331	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH359180	yes	127681	153763	26083	yes	83753	109835	26083
KT878383	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU291473	yes	115711	137424	21714	yes	81422	103135	21714
KT793041	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK193795	yes	130734	156940	26207	yes	87171	113330	26160
MK267316	yes	129309	156957	27649	yes	85097	112745	27649
MK252102	yes	128762	156367	27606	yes	84623	112228	27606
KX063902	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562581	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN524612	yes	131953	158205	26253	yes	87015	113267	26253
MF362689	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569473	yes	132173	158787	26615	yes	88150	114764	26615
MN047293	yes	129904	156818	26915	yes	84848	111762	26915
MN380698	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH817943	yes	86652	112213	25562	yes	131261	156822	25562
