UID	ACCESSION	VERSION	ORGANISM	SEQ_LEN	CREATE_DATE	AUTHORS	TITLE	REFERENCE	NOTE	TAXONOMY
1552056321	MK267309	1	Populus lasiocarpa	156525	2019-01-12	Zong,D.,Gan,P.,Zhou,A.,Zhang,Y.,Zou,X.,Duan,A.,Song,Y.,He,C	Plastome Sequences Help to Resolve Deep-Level Relationships of Populus in the Family Salicaceae	Front Plant Sci 10, 5 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Saliceae; Populus
1609433090	MK193788	1	Hansenia oviformis	156990	2019-04-14	Shahzad,K	The chloroplast Complete genome of Hansenia oviformis (Apiaceae)	Unpublished		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Apiaceae; Apioideae; Physospermopsis clade; Hansenia
1595113494	MK361034	1	Rosa banksiae	156575	2019-03-25	Wang,M.,Zhang,C.,Li,M.,Gao,X	The complete chloroplast genome sequence of Rosa banksiae var. normalis (Rosaceae)	Mitochondrial DNA B Resour 4 (1), 969-970 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Rosoideae; Rosoideae incertae sedis; Rosa
1766752284	MN524604	1	Lonicera ferdinandi	155904	2019-10-22	Wang,H.X.,Liu,H.,Moore,M.J.,Landrein,S.,Liu,B.,Zhu,Z.X.,Wang,H.F	Plastid phylogenomic insights into the evolution of the Caprifoliaceae s.l.(Dipsacales)	Mol. Phylogenet. Evol., 106641 (2019) In press		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Dipsacales; Caprifoliaceae; Lonicera
1040154654	KU291467	1	Ischaemum afrum	141097	2016-06-28	Burke,S.V.,Wysocki,W.P.,Zuloaga,F.O.,Craine,J.M.,Pires,J.C.,Edger,P.P.,Mayfield-Jones,D.,Clark,L.G.,Kelchner,S.A.,Duvall,M.R	Evolutionary relationships in Panicoid grasses based on plastome phylogenomics (Panicoideae; Poaceae)	BMC Plant Biol. 16 (1), 140 (2016)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Andropogonodae; Andropogoneae; Ischaeminae; Ischaemum
1177813027	KX063895	1	Piofontia phylicoidea	152172	2017-04-17	Vargas,O.M.,Ortiz,E.M.,Simpson,B.B	Conflicting phylogenomic signals reveal a pattern of reticulate evolution in a recent high-Andean diversification (Asteraceae: Astereae: Diplostephium)	New Phytol. 214 (4), 1736-1750 (2017)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Asterales; Asteraceae; Asteroideae; Astereae; South American lineages; Piofontia
1095467053	KX826832	1	Salpinga maranonensis	153311	2016-11-06	Reginato,M.,Neubig,K.M.,Majure,L.C.,Michelangeli,F.A	The first complete plastid genomes of Melastomataceae are highly structurally conserved	PeerJ 4, E2715 (2016)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Myrtales; Melastomataceae; Melastomatoideae; Sonerileae; Salpinga
1607270447	MH817936	1	Phillyrea latifolia	155300	2019-04-10	Olofsson,J.K.,Cantera,I.,Van de Paer,C.,Hong-Wa,C.,Zedane,L.,Dunning,L.T.,Alberti,A.,Christin,P.A.,Besnard,G	Phylogenomics using low-depth whole genome sequencing: a case study with the olive tribe	Mol Ecol Resour (2019) In press		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Phillyrea
1561264179	MH041484	1	Commiphora foliacea	160249	2019-01-28	Khan,A.,Asaf,S.,Khan,A.L.,Al-Harrasi,A.,Al-Sudairy,O.,AbdulKareem,N.M.,Khan,A.,Shehzad,T.,Alsaady,N.,Al-Lawati,A.,Al-Rawahi,A.,Shinwari,Z.K	First complete chloroplast genomics and comparative phylogenetic analysis of Commiphora gileadensis and C. foliacea: Myrrh producing trees	PLoS ONE 14 (1), e0208511 (2019)		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Sapindales; Burseraceae; Commiphora
537362489	KF156834	1	Camellia danzaiensis	156576	2013-09-04	Yang,J.-B.,Yang,S.-X.,Li,H.T.,Yang,J.,Li,D.-Z	Comperative chloroplast genomes of Camellia species	PLoS ONE (2013) In press		Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Theaceae; Camellia
